prices.amountMax,prices.amountMin,prices.isAvailable,prices.condition,prices.currency,prices.isSale,prices.merchant,prices.online/offline,prices.shipping,brand,weight,prices.sellcount,prices.average
1,1,1,1,1,0,0,0,0,0,0.15,0,1
1,1,1,1,1,1,0,1,0,1,0.66,0,1
1,1,1,1,1,1,0,0,0,0,0.25,1,1
1,1,1,1,1,1,0,0,0,0,0.24375,1,1
1,1,1,1,1,1,0,0,0,0,1.2,0,1
1,1,1,1,1,1,0,0,0,0,5,0,1
1,1,1,1,1,1,0,1,0,0,3.05,0,1
1,1,1,1,1,1,0,0,0,1,0.35,1,1
1,1,1,1,1,1,0,0,0,1,0.62,0,1
1,1,1,1,1,1,0,1,0,1,0.705625,1,1
1,1,1,1,1,1,0,0,0,1,2.6,1,1
1,1,1,1,1,1,0,0,0,1,0.7,1,1
1,1,1,1,1,1,0,0,0,1,3.96,1,1
1,1,1,1,3,0,1,0,0,0,3.5,0,1
1,1,1,1,1,1,0,0,0,1,3.75,1,1
1,1,1,1,1,1,0,0,0,0,17.9,0,1
1.5,1.5,1,1,1,0,0,1,1,0,1.48,1,0
2,2,1,1,1,1,0,0,0,1,4.2,0,0
2,2,1,1,1,1,0,0,0,1,0.00125,0,0
2,2,1,1,1,1,0,0,0,1,0.00125,1,0
2,2,1,1,1,1,0,0,0,1,11.2,1,0
2,2,1,1,1,1,0,1,0,1,75.2,0,0
2.99,2.99,1,1,1,0,0,0,0,1,39.5,0,0
3,3,1,1,1,1,0,1,0,0,0.684,0,0
5,5,0,1,1,0,1,0,0,0,0.55,0,0
5,5,0,3,1,0,1,0,0,0,6.1,0,0
5.99,5.99,0,3,1,0,1,0,0,0,1.4,0,0
6.45,6.45,1,1,1,0,1,1,1,1,11.9,0,0
6.99,6.99,1,1,1,0,1,1,1,1,0.33,0,0
6.99,6.99,1,1,1,1,0,1,0,0,2.96,1,0
6.99,6.99,1,1,1,1,0,0,0,0,19.2,1,0
7.45,7.45,1,1,1,0,1,1,0,1,11.9,0,0
7.95,7.95,1,1,1,0,1,1,0,1,11.9,0,0
7.98,7.98,1,1,1,0,0,1,0,0,4,1,0
7.99,7.99,1,1,1,0,1,1,0,1,18.8,0,0
7.99,7.99,1,1,1,0,1,1,1,1,11.9,1,0
7.99,7.99,1,1,1,0,0,1,0,0,11.9,1,0
8.04,8.04,1,1,1,0,1,1,1,1,11.9,0,0
8.13,8.13,1,1,1,0,1,1,1,1,2.96,0,0
8.17,8.17,1,1,1,0,1,1,1,1,2.96,0,0
8.21,8.21,1,1,1,0,1,1,1,1,11.9,0,0
8.31,8.31,1,1,1,0,1,1,1,1,11.9,0,0
8.33,8.33,1,1,1,0,0,0,0,1,39.5,0,0
8.4,8.4,1,1,1,0,0,1,0,0,0.082,0,0
8.48,8.48,1,1,1,0,0,1,0,0,0.3,0,0
8.5,8.5,0,1,1,0,0,1,1,0,0.3,0,0
8.56,8.56,1,1,1,0,0,1,0,0,0.96,1,0
8.79,8.79,1,1,1,0,1,1,0,0,4,1,0
8.85,8.85,1,1,1,0,0,1,0,0,1.4,1,0
8.95,8.95,1,1,1,1,1,1,0,1,0.45,1,0
8.95,8.95,1,3,1,0,0,0,0,0,1.2,1,0
